20.967,-67.649,-41.714
21.968,-67.731,-41.668
22.168,-67.62,-41.821
22.368,-67.706,-41.698
22.568,-67.712,-41.746
22.768,-67.623,-41.779
22.969,-67.708,-41.735
23.169,-67.716,-41.764
23.369,-67.703,-41.711
23.569,-67.753,-41.746
23.769,-67.763,-41.712
23.97,-67.85,-41.629
24.17,-67.742,-41.818
24.37,-67.739,-41.67
24.57,-67.868,-41.657
24.77,-67.706,-41.795
24.971,-67.728,-41.65
25.171,-67.734,-41.657
25.371,-67.543,-41.616
25.571,-67.52,-41.478
25.771,-67.406,-41.395
25.972,-67.219,-41.205
26.172,-66.999,-41.222
26.372,-66.775,-40.947
26.572,-66.69,-40.698
26.772,-66.334,-40.681
26.973,-66.058,-40.342
27.173,-65.876,-40.122
27.373,-65.423,-40.015
27.573,-65.161,-39.615
27.773,-64.845,-39.41
27.974,-64.43,-39.104
28.174,-64.086,-38.818
28.374,-63.671,-38.53
28.574,-63.243,-38.192
28.774,-62.771,-37.966
28.975,-62.321,-37.484
29.175,-61.965,-37.152
29.375,-61.377,-36.899
29.575,-60.899,-36.425
29.775,-60.468,-36.051
29.976,-59.846,-35.748
30.176,-59.41,-35.233
30.376,-57.807,-34.265
30.576,-57.252,-33.868
30.776,-56.766,-33.442
30.977,-56.24,-32.975
31.177,-55.785,-32.455
31.377,-55.121,-32.13
31.577,-54.64,-31.673
31.777,-54.395,-31.186
31.978,-53.798,-30.952
32.178,-53.463,-30.461
32.378,-52.094,-30.092
32.578,-51.544,-29.828
32.778,-51.274,-29.487
32.979,-50.876,-29.169
33.179,-50.676,-28.937
33.379,-50.425,-28.651
33.579,-50.146,-28.398
33.779,-49.94,-28.225
33.98,-49.644,-28.07
34.18,-49.501,-27.823
34.38,-49.472,-27.671
34.58,-49.251,-27.649
34.78,-49.143,-27.518
34.981,-48.94,-27.468
35.181,-48.83,-27.391
35.381,-48.869,-27.284
35.581,-48.796,-27.249
35.781,-48.795,-27.221
35.982,-47.66,-27.317
36.983,-49.288,-27.444
37.183,-49.294,-27.57
37.383,-49.336,-27.478
37.583,-49.331,-27.474
37.783,-49.335,-27.467
37.984,-49.356,-27.489
38.184,-49.256,-27.43
38.384,-49.33,-27.437
38.584,-49.267,-27.553
38.784,-49.284,-27.426
38.986,-49.412,-27.389
39.186,-49.279,-27.542
39.386,-49.341,-27.426
39.586,-49.393,-27.474
39.786,-49.333,-27.457
39.987,-49.385,-27.45
40.187,-49.364,-27.441
40.387,-49.376,-27.433
40.587,-49.435,-27.454
40.787,-49.367,-27.43
40.988,-49.447,-27.426
41.188,-49.376,-27.535
41.388,-49.396,-27.409
41.588,-49.52,-27.387
41.788,-49.356,-27.537
41.989,-49.399,-27.406
42.189,-49.419,-27.474
42.389,-49.41,-27.465
42.589,-49.429,-27.443
42.789,-49.412,-27.459
42.99,-49.446,-27.454
43.19,-49.447,-27.489
43.39,-49.395,-27.43
43.59,-49.453,-27.476
43.79,-49.368,-27.535
43.991,-49.356,-27.306
44.191,-49.384,-27.258
44.391,-49.166,-27.365
44.591,-49.14,-27.123
44.791,-49.096,-27.013
44.992,-48.867,-26.85
45.192,-48.71,-26.642
45.392,-48.573,-26.415
45.592,-48.315,-26.153
45.792,-48.086,-25.924
45.993,-49.188,-22.893
46.393,-47.307,-23.491
46.593,-46.889,-23.006
46.793,-46.737,-22.545
46.994,-46.28,-22.155
47.194,-45.906,-21.685
